%   l    n    nu(microHz)   sigma(microHz)
   l    n    nu            sigma
   37   20   4372.3560      0.2495
   37   21   4524.0488      0.4159
   37   22   4676.6221      0.5868
   38    1    988.5821      0.0148
   38    2   1262.5511      0.0043
   38    3   1501.5498      0.0020
   38    4   1713.0581      0.0045
   38    5   1908.8387      0.0053
   38    6   2099.0125      0.0071
   38    7   2282.9214      0.0086
   38    8   2459.9680      0.0094
   38    9   2633.6868      0.0073
   38   10   2805.9475      0.0070
   38   11   2975.8083      0.0090
   38   12   3142.2268      0.0076
   38   13   3305.5984      0.0127
   38   14   3466.5984      0.0194
   38   15   3625.6572      0.0247
   38   16   3783.2393      0.0383
   38   17   3939.6018      0.0587
   38   18   4095.0120      0.0960
   38   19   4249.4277      0.1575
   38   20   4403.0063      0.2184
   38   21   4556.6431      0.3340
   38   22   4707.9082      0.6253
   39    2   1275.7358      0.0034
   39    3   1516.0358      0.0020
   39    4   1728.2585      0.0024
   39    5   1925.2260      0.0042
   39    6   2116.6294      0.0063
   39    7   2301.2537      0.0073
   39    8   2479.0496      0.0123
   39    9   2653.8335      0.0088
   39   10   2827.2749      0.0085
   39   11   2998.0674      0.0058
   39   12   3165.6353      0.0111
   39   13   3330.3032      0.0127
   39   14   3492.5447      0.0215
   39   15   3652.5781      0.0269
   39   16   3811.0955      0.0422
   39   17   3968.1775      0.0632
   39   18   4124.4922      0.1173
   39   19   4279.6870      0.1951
   39   20   4433.7017      0.2453
   39   21   4586.7178      0.4272
   40    1   1010.2318      0.0288
   40    2   1288.7450      0.0037
   40    3   1530.3142      0.0028
   40    4   1743.2660      0.0035
   40    5   1941.4443      0.0049
   40    6   2133.9929      0.0077
   40    7   2319.3220      0.0074
   40    8   2497.9312      0.0091
   40    9   2673.7444      0.0098
   40   10   2848.1985      0.0073
   40   11   3019.9846      0.0104
   40   12   3188.6565      0.0108
   40   13   3354.4829      0.0116
   40   14   3518.0559      0.0192
   40   15   3679.2668      0.0243
   40   16   3838.7029      0.0418
   40   17   3996.6277      0.0761
   40   18   4153.5063      0.1192
   40   19   4309.2241      0.1880
   40   20   4464.1997      0.3071
   40   21   4618.1958      0.5647
   41    1   1020.8365      0.0214
   41    2   1301.5692      0.0022
   41    3   1544.3685      0.0021
   41    4   1758.0416      0.0032
   41    5   1957.4950      0.0055
   41    6   2151.1431      0.0086
   41    7   2337.2146      0.0071
   41    8   2516.5527      0.0082
   41    9   2693.4885      0.0065
   41   10   2868.8596      0.0095
   41   11   3041.5525      0.0080
   41   12   3211.2434      0.0097
   41   13   3378.4009      0.0148
   41   14   3543.1555      0.0228
   41   15   3705.5830      0.0332
   41   16   3865.7483      0.0503
   41   17   4024.6143      0.0781
   41   18   4182.2300      0.1317
   41   19   4338.9829      0.2027
   41   20   4494.6104      0.3178
   41   21   4650.0464      0.6550
   42    1   1031.3660      0.0333
   42    2   1314.2288      0.0028
   42    3   1558.1746      0.0019
   42    4   1772.6614      0.0034
   42    5   1973.3773      0.0046
   42    6   2168.1504      0.0061
   42    7   2354.8425      0.0078
   42    8   2535.0090      0.0103
   42    9   2713.0105      0.0083
   42   10   2889.3503      0.0060
   42   11   3062.8311      0.0062
   42   12   3233.5229      0.0097
   42   13   3401.9175      0.0174
   42   14   3567.9297      0.0326
   42   15   3731.4907      0.0339
   42   16   3892.7668      0.0539
   42   17   4052.5188      0.0865
   42   18   4210.9180      0.1574
   42   19   4367.9604      0.2307
   42   20   4524.5718      0.3665
   42   21   4679.8364      0.7910
   43    1   1041.7404      0.0195
   43    2   1326.7285      0.0030
   43    3   1571.8202      0.0022
   43    4   1787.0630      0.0031
   43    5   1989.0803      0.0049
   43    6   2184.8835      0.0073
   43    7   2372.2246      0.0088
   43    8   2553.3145      0.0080
   43    9   2732.3191      0.0068
   43   10   2909.5825      0.0077
   43   11   3083.9006      0.0083
   43   12   3255.5366      0.0131
   43   13   3425.1008      0.0186
   43   14   3592.2715      0.0241
   43   15   3756.9170      0.0369
   43   16   3919.4514      0.0656
   43   17   4080.0120      0.0983
   43   18   4239.0005      0.1568
   43   19   4396.6914      0.3001
   43   20   4554.3257      0.3802
   43   21   4710.5029      0.6122
   44    1   1051.8962      0.0148
   44    2   1339.0704      0.0020
   44    3   1585.2141      0.0023
   44    4   1801.2728      0.0050
   44    5   2004.6268      0.0062
   44    6   2201.4951      0.0082
   44    7   2389.4700      0.0091
   44    8   2571.4238      0.0098
   44    9   2751.4639      0.0094
   44   10   2929.5820      0.0063
   44   11   3104.6929      0.0074
   44   12   3277.2207      0.0130
   44   13   3447.8389      0.0168
   44   14   3616.2825      0.0214
   44   15   3782.1384      0.0420
   44   16   3945.5359      0.0730
   44   17   4107.0444      0.0859
   44   18   4267.3643      0.1817
   44   19   4425.8677      0.3789
   44   20   4583.2041      0.4563
   44   21   4739.4863      0.5872
   45    1   1062.0131      0.0171
   45    2   1351.2559      0.0030
   45    3   1598.4102      0.0016
   45    4   1815.2926      0.0048
   45    5   2020.0468      0.0059
   45    6   2217.7981      0.0059
   45    7   2406.4707      0.0073
   45    8   2589.4377      0.0092
   45    9   2770.4805      0.0080
   45   10   2949.3755      0.0082
   45   11   3125.2561      0.0093
   45   12   3298.7124      0.0124
   45   13   3470.3987      0.0236
   45   14   3639.9558      0.0291
   45   15   3806.9690      0.0406
   45   16   3971.4934      0.0764
   45   17   4134.1069      0.1147
   45   18   4294.9067      0.2124
   45   19   4454.0195      0.4072
   45   20   4612.5327      0.4812
   45   21   4770.1558      1.2160
   46    1   1072.0017      0.0130
   46    2   1363.3003      0.0013
   46    3   1611.4254      0.0021
   46    4   1829.2185      0.0035
   46    5   2035.2750      0.0069
   46    6   2233.9617      0.0083
   46    7   2423.3154      0.0066
   46    8   2607.2275      0.0093
   46    9   2789.2993      0.0068
   46   10   2968.9897      0.0087
   46   11   3145.6328      0.0096
   46   12   3319.9517      0.0122
   46   13   3492.5718      0.0198
   46   14   3663.2522      0.0323
   46   15   3831.3164      0.0471
   46   16   3996.8733      0.0845
   46   17   4160.6299      0.1497
   46   18   4322.0181      0.1932
   46   19   4482.0264      0.4942
   46   20   4641.6221      0.6925
   47    1   1081.8802      0.0108
   47    2   1375.1781      0.0016
   47    3   1624.2333      0.0028
   47    4   1842.9395      0.0044
   47    5   2050.3635      0.0061
   47    6   2249.9453      0.0057
   47    7   2439.9968      0.0092
   47    8   2624.8735      0.0100
   47    9   2807.9102      0.0091
   47   10   2988.3899      0.0068
   47   11   3165.7903      0.0110
   47   12   3340.9744      0.0151
   47   13   3514.5154      0.0218
   47   14   3686.0625      0.0320
   47   15   3855.4150      0.0517
   47   16   4022.3010      0.0820
   47   17   4186.6167      0.1559
   47   18   4349.4604      0.2964
   47   19   4509.4258      0.6665
   48    1   1091.6354      0.0090
   48    2   1386.9142      0.0023
   48    3   1636.8826      0.0027
   48    4   1856.5780      0.0037
   48    5   2065.2915      0.0058
   48    6   2265.7371      0.0090
   48    7   2456.4900      0.0077
   48    8   2642.3596      0.0075
   48    9   2826.4268      0.0072
   48   10   3007.6013      0.0076
   48   11   3185.7305      0.0084
   48   12   3361.7969      0.0152
   48   13   3536.1936      0.0222
   48   14   3708.8738      0.0401
   48   15   3879.1753      0.0609
   48   16   4046.9272      0.1026
   48   17   4212.6509      0.1745
   48   18   4376.1162      0.3097
   48   19   4537.1602      0.6327
   49    1   1101.1934      0.0127
   49    2   1398.5287      0.0021
   49    3   1649.3557      0.0025
   49    4   1869.9910      0.0045
   49    5   2080.0774      0.0055
   49    6   2281.3787      0.0065
   49    7   2472.8220      0.0106
   49    8   2659.7598      0.0085
   49    9   2844.7266      0.0072
   49   10   3026.6731      0.0092
   49   11   3205.5417      0.0099
   49   12   3382.3545      0.0134
   49   13   3557.6228      0.0206
   49   14   3731.2476      0.0401
   49   15   3902.4116      0.0695
   49   16   4071.5969      0.1057
   49   17   4238.1455      0.2263
   49   18   4401.8906      0.3566
   49   19   4564.1406      0.4946
   50    1   1110.7401      0.0150
   50    2   1409.9655      0.0016
   50    3   1661.6290      0.0027
   50    4   1883.3191      0.0056
   50    5   2094.7197      0.0073
   50    6   2296.7261      0.0072
   50    7   2488.9653      0.0094
   50    8   2676.9788      0.0063
   50    9   2862.9138      0.0081
   50   10   3045.5708      0.0071
   50   11   3225.1658      0.0099
   50   12   3402.8279      0.0161
   50   13   3578.8982      0.0241
   50   14   3753.2925      0.0437
   50   15   3925.6025      0.0780
   50   16   4095.5286      0.1422
   50   17   4263.6260      0.2674
   50   18   4427.8408      0.3660
   50   19   4591.7695      0.6734
   51    1   1120.2515      0.0077
   51    2   1421.2740      0.0017
   51    3   1673.7426      0.0028
   51    4   1896.5072      0.0045
   51    5   2109.2190      0.0074
   51    6   2312.0288      0.0084
   51    7   2505.0337      0.0081
   51    8   2694.0757      0.0085
   51    9   2880.8689      0.0076
   51   10   3064.2617      0.0076
   51   11   3244.6179      0.0100
   51   12   3423.0425      0.0175
   51   13   3599.9375      0.0234
   51   14   3775.2234      0.0485
   51   15   3948.3318      0.0807
   51   16   4119.5312      0.1525
   51   17   4288.1465      0.2465
   51   18   4454.2476      0.5673
   52    1   1129.5526      0.0068
   52    2   1432.4573      0.0017
   52    3   1685.7147      0.0037
   52    4   1909.5846      0.0042
   52    5   2123.5479      0.0072
   52    6   2327.1304      0.0104
   52    7   2520.9343      0.0088
   52    8   2711.0137      0.0076
   52    9   2898.7297      0.0061
   52   10   3082.8330      0.0088
   52   11   3263.8889      0.0114
   52   12   3443.1743      0.0177
   52   13   3620.8567      0.0279
   52   14   3796.9316      0.0479
   52   15   3970.9873      0.0831
   52   16   4142.9536      0.1783
   52   17   4312.9062      0.2677
   53    1   1138.7323      0.0122
   53    2   1443.4988      0.0017
   53    3   1697.4827      0.0030
   53    4   1922.5255      0.0068
   53    5   2137.7324      0.0071
   53    6   2342.0168      0.0083
   53    7   2536.7402      0.0088
   53    8   2727.8745      0.0091
   53    9   2916.3821      0.0067
   53   10   3101.2202      0.0089
   53   11   3283.1184      0.0119
   53   12   3463.1145      0.0188
   53   13   3641.5730      0.0308
   53   14   3818.2795      0.0580
   53   15   3993.4055      0.1033
   53   16   4166.2144      0.1609
   53   17   4337.0234      0.4007
   54    1   1147.9012      0.0091
   54    2   1454.3920      0.0023
   54    3   1709.1268      0.0033
   54    4   1935.3231      0.0051
   54    5   2151.7754      0.0066
   54    6   2356.7629      0.0082
   54    7   2552.3523      0.0091
   54    8   2744.5615      0.0066
   54    9   2933.9404      0.0073
   54   10   3119.5181      0.0092
   54   11   3302.1125      0.0113
   54   12   3482.8401      0.0185
   54   13   3662.0779      0.0367
   54   14   3839.5417      0.0616
   54   15   4015.5703      0.1124
   54   16   4188.6079      0.2059
   54   17   4360.7744      0.4919
   55    1   1156.9828      0.0074
   55    2   1465.1592      0.0023
   55    3   1720.6440      0.0029
   55    4   1948.0907      0.0052
   55    5   2165.6616      0.0073
   55    6   2371.3762      0.0093
   55    7   2567.8323      0.0104
   55    8   2761.1279      0.0091
   55    9   2951.3384      0.0092
   55   10   3137.5955      0.0084
   55   11   3320.9546      0.0153
   55   12   3502.5774      0.0202
   55   13   3682.4653      0.0356
   55   14   3860.5903      0.0704
   55   15   4037.5454      0.1380
   55   16   4212.3652      0.2179
   55   17   4384.7959      0.3339
   56    1   1165.8378      0.0068
   56    2   1475.8097      0.0018
   56    3   1731.9962      0.0035
   56    4   1960.6986      0.0057
   56    5   2179.4236      0.0083
   56    6   2385.7998      0.0085
   56    7   2583.2786      0.0090
   56    8   2777.6021      0.0077
   56    9   2968.5669      0.0096
   56   10   3155.5576      0.0085
   56   11   3339.6423      0.0118
   56   12   3521.9854      0.0206
   56   13   3702.6516      0.0340
   56   14   3881.4587      0.0806
   56   15   4058.7927      0.1582
   56   16   4234.4258      0.2221
   57    1   1174.7081      0.0089
   57    2   1486.3147      0.0026
   57    3   1743.2444      0.0044
   57    4   1973.1895      0.0065
   57    5   2193.0737      0.0090
   57    6   2400.1377      0.0074
   57    7   2598.5327      0.0067
   57    8   2793.8862      0.0067
   57    9   2985.6782      0.0089
   57   10   3173.3701      0.0083
   57   11   3358.2876      0.0186
   57   12   3541.3291      0.0243
   57   13   3722.6936      0.0398
   57   14   3902.5835      0.0764
   57   15   4080.3403      0.1412
   57   16   4256.1543      0.2490
   58    1   1183.5413      0.0084
   58    2   1496.7112      0.0017
   58    3   1754.3083      0.0034
   58    4   1985.5903      0.0049
   58    5   2206.5374      0.0096
   58    6   2414.3071      0.0085
   58    7   2613.6987      0.0096
   58    8   2810.0786      0.0062
   58    9   3002.6572      0.0073
   58   10   3191.0913      0.0083
   58   11   3376.8301      0.0124
   58   12   3560.6013      0.0229
   58   13   3742.6089      0.0415
   58   14   3922.9375      0.0798
   58   15   4101.6143      0.1639
   58   16   4278.6265      0.3440
   59    1   1192.2512      0.0054
   59    2   1506.9639      0.0031
   59    3   1765.2773      0.0039
   59    4   1997.8918      0.0061
   59    5   2219.8821      0.0060
   59    6   2428.3594      0.0094
   59    7   2628.8191      0.0115
   59    8   2826.1641      0.0054
   59    9   3019.4861      0.0081
   59   10   3208.6316      0.0096
   59   11   3395.1104      0.0125
   59   12   3579.6694      0.0268
   59   13   3762.3103      0.0428
   59   14   3943.1614      0.1061
   59   15   4123.1572      0.1747
   59   16   4300.2803      0.4143
   60    1   1200.8651      0.0091
   60    2   1517.1045      0.0020
   60    3   1776.1519      0.0047
   60    4   2010.0865      0.0069
   60    5   2233.0779      0.0079
   60    6   2442.2769      0.0094
   60    7   2643.7268      0.0071
   60    8   2842.0845      0.0074
   60    9   3036.1445      0.0078
   60   10   3226.0950      0.0084
   60   11   3413.2893      0.0159
   60   12   3598.5945      0.0295
   60   13   3782.0288      0.0527
   60   14   3963.6792      0.1107
   60   15   4143.7158      0.1955
   60   16   4322.1621      0.3401
   61    1   1209.3954      0.0071
   61    2   1527.1233      0.0023
   61    3   1786.8910      0.0042
   61    4   2022.1995      0.0058
   61    5   2246.1436      0.0088
   61    6   2456.0542      0.0112
   61    7   2658.5730      0.0103
   61    8   2857.9260      0.0078
   61    9   3052.7495      0.0064
   61   10   3243.4167      0.0113
   61   11   3431.4331      0.0169
   61   12   3617.3645      0.0264
   61   13   3801.6836      0.0530
   61   14   3983.7529      0.1174
   61   15   4164.2935      0.2588
   61   16   4343.1353      0.3355
   62    1   1217.8260      0.0052
   62    2   1537.0219      0.0022
   62    3   1797.5271      0.0056
   62    4   2034.1760      0.0049
   62    5   2259.0869      0.0072
   62    6   2469.7153      0.0088
   62    7   2673.3420      0.0074
   62    8   2873.6235      0.0064
   62    9   3069.2427      0.0075
   62   10   3260.5911      0.0108
   62   11   3449.3967      0.0174
   62   12   3636.2698      0.0311
   62   13   3821.0273      0.0552
   62   14   4003.6973      0.1291
   62   15   4185.1982      0.3300
   63    1   1226.2555      0.0062
   63    2   1546.8014      0.0019
   63    3   1808.0762      0.0047
   63    4   2046.0750      0.0081
   63    5   2271.9028      0.0105
   63    6   2483.3142      0.0101
   63    7   2687.9761      0.0081
   63    8   2889.2029      0.0089
   63    9   3085.4883      0.0071
   63   10   3277.6570      0.0108
   63   11   3467.2529      0.0177
   63   12   3654.8755      0.0320
   63   13   3840.1074      0.0665
   63   14   4023.6538      0.1658
   63   15   4206.1104      0.3045
   64    1   1234.5204      0.0052
   64    2   1556.4717      0.0036
   64    3   1818.4504      0.0045
   64    4   2057.8733      0.0073
   64    5   2284.5388      0.0092
   64    6   2496.7903      0.0093
   64    7   2702.5342      0.0081
   64    8   2904.6575      0.0080
   64    9   3101.7295      0.0089
   64   10   3294.6748      0.0120
   64   11   3485.0764      0.0211
   64   12   3673.3167      0.0357
   64   13   3859.2932      0.0762
   64   14   4043.2551      0.1600
   64   15   4226.3745      0.3242
   65    1   1242.7911      0.0056
   65    2   1566.0308      0.0023
   65    3   1828.8015      0.0053
   65    4   2069.5825      0.0071
   65    5   2297.1409      0.0117
   65    6   2510.1523      0.0111
   65    7   2716.9722      0.0077
   65    8   2920.0225      0.0096
   65    9   3117.8132      0.0079
   65   10   3311.5066      0.0113
   65   11   3502.7070      0.0204
   65   12   3691.6741      0.0409
   65   13   3878.4714      0.0920
   65   14   4063.5352      0.1925
   65   15   4246.2739      0.3658
   66    1   1250.9258      0.0073
   66    2   1575.4807      0.0024
   66    3   1839.0558      0.0065
   66    4   2081.2280      0.0079
   66    5   2309.5452      0.0071
   66    6   2523.3689      0.0101
   66    7   2731.3413      0.0077
   66    8   2935.2239      0.0082
   66    9   3133.7429      0.0086
   66   10   3328.2600      0.0119
   66   11   3520.2161      0.0259
   66   12   3709.8804      0.0482
   66   13   3897.3999      0.0744
   66   14   4082.6965      0.1757
   67    1   1259.0532      0.0034
   67    2   1584.8107      0.0025
   67    3   1849.1888      0.0056
   67    4   2092.7214      0.0082
   67    5   2321.8721      0.0074
   67    6   2536.5515      0.0087
   67    7   2745.5930      0.0081
   67    8   2950.3682      0.0064
   67    9   3149.6353      0.0088
   67   10   3344.9026      0.0144
   67   11   3537.6858      0.0249
   67   12   3728.0513      0.0444
   67   13   3916.0432      0.0995
   67   14   4102.0762      0.2653
   68    1   1267.0571      0.0046
   68    2   1594.0232      0.0025
   68    3   1859.2506      0.0060
   68    4   2104.1345      0.0066
   68    5   2334.0581      0.0087
   68    6   2549.6035      0.0088
   68    7   2759.7202      0.0074
   68    8   2965.3123      0.0104
   68    9   3165.3406      0.0072
   68   10   3361.4395      0.0196
   68   11   3554.8662      0.0281
   68   12   3746.0022      0.0518
   68   13   3934.5757      0.1114
   68   14   4121.1270      0.2562
   69    1   1275.0049      0.0032
   69    2   1603.1433      0.0031
   69    3   1869.2288      0.0047
   69    4   2115.4629      0.0068
   69    5   2346.1423      0.0103
   69    6   2562.6006      0.0081
   69    7   2773.8079      0.0062
   69    8   2980.2131      0.0087
   69    9   3180.9797      0.0082
   69   10   3377.8811      0.0153
   69   11   3572.1533      0.0281
   69   12   3763.9070      0.0504
   69   13   3953.1362      0.1171
   69   14   4140.8413      0.2442
   70    1   1282.9056      0.0038
   70    2   1612.1674      0.0031
   70    3   1879.1128      0.0067
   70    4   2126.7095      0.0061
   70    5   2358.1355      0.0076
   70    6   2575.5300      0.0073
   70    7   2787.7905      0.0096
   70    8   2995.0046      0.0082
   70    9   3196.5278      0.0093
   70   10   3394.2632      0.0157
   70   11   3589.2273      0.0305
   70   12   3781.6570      0.0571
   70   13   3971.6797      0.1261
   70   14   4160.0615      0.3469
   71    1   1290.7163      0.0043
   71    2   1621.0764      0.0029
   71    3   1888.9131      0.0068
   71    4   2137.8394      0.0084
   71    5   2370.0193      0.0122
   71    6   2588.3354      0.0117
   71    7   2801.6296      0.0079
   71    8   3009.7173      0.0069
   71    9   3211.9795      0.0103
   71   10   3410.4915      0.0187
   71   11   3606.2546      0.0306
   71   12   3799.4602      0.0652
   71   13   3990.0603      0.1714
   71   14   4179.1284      0.3105
   72    1   1298.5143      0.0028
   72    2   1629.9011      0.0038
   72    3   1898.6821      0.0064
   72    4   2148.8777      0.0083
   72    5   2381.7959      0.0102
   72    6   2601.0393      0.0097
   72    7   2815.4209      0.0099
   72    8   3024.2798      0.0083
   72    9   3227.3242      0.0110
   72   10   3426.5859      0.0164
   72   11   3623.1331      0.0338
   72   12   3816.9189      0.0703
   72   13   4008.2825      0.1413
   72   14   4197.5308      0.3899
   73    1   1306.2056      0.0027
   73    2   1638.6230      0.0044
   73    3   1908.3455      0.0061
   73    4   2159.8491      0.0087
   73    5   2393.4131      0.0094
   73    6   2613.7097      0.0079
   73    7   2829.1360      0.0092
   73    8   3038.7537      0.0056
   73    9   3242.5210      0.0105
   73   10   3442.6704      0.0164
   73   11   3639.8735      0.0363
   73   12   3834.4263      0.0708
   73   13   4026.2310      0.1989
   74    1   1313.8530      0.0037
   74    2   1647.2339      0.0034
   74    3   1917.9528      0.0067
   74    4   2170.7129      0.0102
   74    5   2404.9922      0.0102
   74    6   2626.2683      0.0087
   74    7   2842.7361      0.0094
   74    8   3053.1423      0.0074
   74    9   3257.6753      0.0116
   74   10   3458.6638      0.0221
   74   11   3656.6489      0.0397
   74   12   3851.8276      0.0757
   74   13   4044.5276      0.1742
   75    1   1321.4249      0.0031
   75    2   1655.7690      0.0039
   75    3   1927.4764      0.0064
   75    4   2181.4355      0.0083
   75    5   2416.4778      0.0084
   75    6   2638.7566      0.0099
   75    7   2856.2224      0.0065
   75    8   3067.3955      0.0095
   75    9   3272.7527      0.0115
   75   10   3474.4656      0.0216
   75   11   3673.2415      0.0392
   75   12   3869.1292      0.1072
   75   13   4062.5203      0.2186
   76    1   1328.9615      0.0026
   76    2   1664.1963      0.0035
   76    3   1936.9340      0.0063
   76    4   2192.1614      0.0088
   76    5   2427.8440      0.0117
   76    6   2651.2236      0.0086
   76    7   2869.6421      0.0068
   76    8   3081.5845      0.0067
   76    9   3287.7139      0.0118
   76   10   3490.2288      0.0185
   76   11   3689.8235      0.0476
   76   12   3886.3606      0.1129
   76   13   4080.0618      0.2460
   77    1   1336.4127      0.0031
   77    2   1672.5621      0.0034
   77    3   1946.3281      0.0054
   77    4   2202.7249      0.0095
   77    5   2439.1265      0.0089
   77    6   2663.5073      0.0099
   77    7   2882.9783      0.0079
   77    8   3095.6863      0.0076
   77    9   3302.6096      0.0103
   77   10   3505.9490      0.0199
   77   11   3706.2832      0.0482
   77   12   3903.5530      0.1109
   77   13   4098.0342      0.3481
   78    1   1343.8188      0.0026
   78    2   1680.8019      0.0040
   78    3   1955.6707      0.0071
   78    4   2213.2500      0.0082
   78    5   2450.3135      0.0091
   78    6   2675.8196      0.0092
   78    7   2896.1973      0.0086
   78    8   3109.6580      0.0072
   78    9   3317.4219      0.0118
   78   10   3521.5684      0.0266
   78   11   3722.4607      0.0472
   78   12   3920.2744      0.1346
   78   13   4116.1562      0.4021
   79    1   1351.1700      0.0017
   79    2   1688.9722      0.0046
   79    3   1964.9409      0.0045
   79    4   2223.6355      0.0111
   79    5   2461.4397      0.0109
   79    6   2687.9922      0.0095
   79    7   2909.3604      0.0072
   79    8   3123.5564      0.0083
   79    9   3332.0559      0.0138
   79   10   3536.9966      0.0257
   79   11   3738.8240      0.0494
   79   12   3937.2102      0.1191
   79   13   4132.8677      0.6407
   80    1   1358.4663      0.0018
   80    2   1697.0656      0.0038
   80    3   1974.1797      0.0061
   80    4   2233.9485      0.0078
   80    5   2472.5154      0.0113
   80    6   2700.1255      0.0084
   80    7   2922.3831      0.0081
   80    8   3137.3982      0.0071
   80    9   3346.7317      0.0115
   80   10   3552.5012      0.0287
   80   11   3754.9607      0.0576
   80   12   3954.1970      0.1386
   80   13   4151.0498      0.3326
   81    1   1365.6975      0.0025
   81    2   1705.0363      0.0044
   81    3   1983.3240      0.0070
   81    4   2244.2048      0.0102
   81    5   2483.4995      0.0094
   81    6   2712.1848      0.0101
   81    7   2935.3875      0.0068
   81    8   3151.0994      0.0099
   81    9   3361.2812      0.0146
   81   10   3567.8721      0.0265
   81   11   3771.0100      0.0678
   81   12   3970.7124      0.1715
   81   13   4167.7749      0.5374
   82    1   1372.8802      0.0035
   82    2   1713.0055      0.0061
   82    3   1992.4354      0.0069
   82    4   2254.3240      0.0074
   82    5   2494.3384      0.0122
   82    6   2724.1604      0.0094
   82    7   2948.2649      0.0072
   82    8   3164.7988      0.0079
   82    9   3375.7517      0.0144
   82   10   3583.1216      0.0315
   82   11   3786.8704      0.0819
   82   12   3987.3564      0.1682
   82   13   4185.2471      0.3782
   83    1   1380.0156      0.0018
   83    2   1720.8309      0.0051
   83    3   2001.4698      0.0088
   83    4   2264.3369      0.0105
   83    5   2505.1477      0.0112
   83    6   2736.0959      0.0102
   83    7   2961.0828      0.0070
   83    8   3178.3521      0.0099
   83    9   3390.1375      0.0178
   83   10   3598.2002      0.0345
   83   11   3802.6926      0.0926
   83   12   4004.0359      0.1742
   84    1   1387.1049      0.0023
   84    2   1728.6031      0.0065
   84    3   2010.4404      0.0068
   84    4   2274.3562      0.0113
   84    5   2515.9209      0.0112
   84    6   2747.9675      0.0096
   84    7   2973.7942      0.0082
   84    8   3191.8232      0.0106
   84    9   3404.4185      0.0169
   84   10   3613.3584      0.0375
   84   11   3818.4624      0.0868
   84   12   4020.5930      0.2639
   85    1   1394.1327      0.0026
   85    2   1736.2924      0.0063
   85    3   2019.3630      0.0076
   85    4   2284.2581      0.0119
   85    5   2526.5825      0.0080
   85    6   2759.7759      0.0090
   85    7   2986.4651      0.0088
   85    8   3205.1919      0.0115
   85    9   3418.7227      0.0225
   85   10   3628.3555      0.0459
   85   11   3834.3972      0.1001
   85   12   4036.5964      0.1857
   86    1   1401.1078      0.0021
   86    2   1743.9150      0.0047
   86    3   2028.2374      0.0107
   86    4   2294.0491      0.0103
   86    5   2537.1941      0.0115
   86    6   2771.5000      0.0081
   86    7   2999.0027      0.0095
   86    8   3218.5549      0.0083
   86    9   3432.8181      0.0213
   86   10   3643.1936      0.0438
   86   11   3849.8828      0.1118
   86   12   4053.3982      0.3234
   87    1   1408.0322      0.0025
   87    2   1751.4456      0.0059
   87    3   2037.0730      0.0092
   87    4   2303.7786      0.0084
   87    5   2547.7600      0.0125
   87    6   2783.1624      0.0078
   87    7   3011.4702      0.0090
   87    8   3231.8164      0.0104
   87    9   3446.9275      0.0195
   87   10   3658.1521      0.0469
   87   11   3865.5496      0.1188
   87   12   4068.9104      0.4067
   88    1   1414.9080      0.0023
   88    2   1758.9485      0.0056
   88    3   2045.8160      0.0085
   88    4   2313.4321      0.0120
   88    5   2558.2332      0.0113
   88    6   2794.7227      0.0084
   88    7   3023.9031      0.0091
   88    8   3244.9802      0.0100
   88    9   3461.0056      0.0197
   88   10   3673.0110      0.0479
   88   11   3880.9551      0.1354
   89    1   1421.7388      0.0041
   89    2   1766.3649      0.0069
   89    3   2054.5459      0.0100
   89    4   2322.9993      0.0118
   89    5   2568.6606      0.0098
   89    6   2806.2246      0.0095
   89    7   3036.2273      0.0081
   89    8   3258.0825      0.0130
   89    9   3474.9062      0.0240
   89   10   3687.5881      0.0549
   89   11   3896.3127      0.1452
   90    1   1428.5128      0.0030
   90    2   1773.6970      0.0053
   90    3   2063.1980      0.0089
   90    4   2332.4541      0.0122
   90    5   2579.0259      0.0092
   90    6   2817.6951      0.0083
   90    7   3048.4792      0.0087
   90    8   3271.1548      0.0110
   90    9   3488.7632      0.0259
   90   10   3702.1729      0.0574
   90   11   3911.6311      0.1328
   91    0    969.9991      0.1562
   91    1   1435.2412      0.0024
   91    2   1781.0020      0.0054
   91    3   2071.8076      0.0082
   91    4   2341.8872      0.0096
   91    5   2589.3557      0.0091
   91    6   2829.1248      0.0113
   91    7   3060.6497      0.0089
   91    8   3284.1338      0.0118
   91    9   3502.5720      0.0279
   91   10   3716.7002      0.0641
   91   11   3926.9397      0.1999
   92    0    975.2433      0.1691
   92    1   1441.9329      0.0025
   92    2   1788.2443      0.0072
   92    3   2080.3552      0.0097
   92    4   2351.2346      0.0126
   92    5   2599.5854      0.0149
   92    6   2840.4321      0.0083
   92    7   3072.7759      0.0102
   92    8   3296.9895      0.0140
   92    9   3516.2297      0.0285
   92   10   3731.2568      0.0633
   92   11   3942.0776      0.1683
   93    0    980.3019      0.1051
   93    1   1448.5613      0.0024
   93    2   1795.3855      0.0051
   93    3   2088.8843      0.0113
   93    4   2360.5120      0.0107
   93    5   2609.8164      0.0112
   93    6   2851.6853      0.0102
   93    7   3084.8235      0.0086
   93    8   3309.8892      0.0150
   93    9   3529.9141      0.0292
   93   10   3745.6987      0.0760
   93   11   3957.2834      0.1903
   94    0    985.4715      0.1414
   94    1   1455.1415      0.0027
   94    2   1802.4857      0.0053
   94    3   2097.2942      0.0116
   94    4   2369.7002      0.0136
   94    5   2619.9897      0.0115
   94    6   2862.8745      0.0102
